,Washington FLL Eastern Spokane Qualifier Saturday,Washington FLL Eastern Spokane Qualifier Sunday,Washington FLL Central South Pasco Qualifier ,Washington FLL Central South Tri-Cities Qualifier Saturday,Washington FLL Eastside Issaquah Sunday,Washington FLL North Sound Snohomish Qualifier Saturday,Washington FLL North Sound Snohomish Qualifier Sunday,Washington FLL North Sound Everett Qualifier Saturday ,Washington FLL North Sound Everett Qualifier Sunday,Washington FLL Eastside Bellevue Qualifier Saturday,Washington FLL Eastside Bellevue Qualifier Sunday ,Washington FLL South Federal Way Qualifier Saturday,Washington FLL South Federal Way Qualifier Sunday ,Washington FLL South Sound Tacoma Qualifier Sunday 
1932,31.328558018539965,31.328558018539965,201.04411702876016,207.42749047034502,344.0130390219541,349.24899151256807,349.24899151256807,357.3673264405716,357.3673264405716,357.9446005759522,357.9446005759522,365.29521416570327,365.29521416570327,381.1255442882076
31404,370.7975494342914,370.7975494342914,279.4868851648775,278.30318301996317,28.632493531649676,11.945256201197491,11.945256201197491,18.947060967908843,18.947060967908843,18.916463874200282,18.916463874200282,51.65502473701431,51.65502473701431,63.85617713519591
4700,31.328558018539965,31.328558018539965,201.04411702876016,207.42749047034502,344.0130390219541,349.24899151256807,349.24899151256807,357.3673264405716,357.3673264405716,357.9446005759522,357.9446005759522,365.29521416570327,365.29521416570327,381.1255442882076
2201,378.3223935988935,378.3223935988935,277.66828477006544,276.0917223990863,17.531019550712436,27.574896470102953,27.574896470102953,31.20652310461605,31.20652310461605,3.0662556811391832,3.0662556811391832,34.732359521828585,34.732359521828585,46.5205543217568
1771,217.07882471447707,217.07882471447707,16.070601133835726,9.585831935697007,256.7161371261726,285.96221588216673,285.96221588216673,294.6905563841472,294.6905563841472,276.3150823668083,276.3150823668083,262.2404602190984,262.2404602190984,272.5730903271055
56258,395.3165865022063,395.3165865022063,290.02542651979564,288.16833445196903,29.984605692312613,38.739845245327096,38.739845245327096,38.46695541471461,38.46695541471461,14.684432459199037,14.684432459199037,30.96982004223194,30.96982004223194,36.662099141194204
21282,32.975729327910635,32.975729327910635,202.12918665507138,208.50365516695146,343.5524599792477,348.5787477409883,348.5787477409883,356.6780894940628,356.6780894940628,357.41097695129963,357.41097695129963,364.9317175024509,364.9317175024509,380.7849838136816
22311,373.0506449808272,373.0506449808272,289.7951328492207,288.8809726760793,44.48972005281054,4.438719040365625,4.438719040365625,9.476199661937496,9.476199661937496,32.73268532551726,32.73268532551726,66.70476410076145,66.70476410076145,77.74111224072377
22312,373.0506449808272,373.0506449808272,289.7951328492207,288.8809726760793,44.48972005281054,4.438719040365625,4.438719040365625,9.476199661937496,9.476199661937496,32.73268532551726,32.73268532551726,66.70476410076145,66.70476410076145,77.74111224072377
11429,375.4632750566129,375.4632750566129,261.06808629806017,258.98228404560376,16.59422385812501,54.516640615759854,54.516640615759854,58.86918244907209,58.86918244907209,28.279484303947385,28.279484303947385,12.67373016417505,12.67373016417505,29.12696564232839
48572,374.5614379205747,374.5614379205747,274.2835887111508,272.7462025122749,14.954956503899048,27.4581772949366,27.4581772949366,32.09966112638589,32.09966112638589,6.835823264359556,6.835823264359556,35.36008466085587,35.36008466085587,48.122502147885456
62617,375.2457536464884,375.2457536464884,278.3719876495206,276.9559453779116,21.148508978665472,20.82438628179885,20.82438628179885,25.430060343476555,25.430060343476555,8.87653278802645,8.87653278802645,41.633753253984914,41.633753253984914,53.610728818862164
5003,448.4200437843995,448.4200437843995,316.01596830334415,312.8189584173559,90.07745336097358,110.72887039985181,110.72887039985181,108.93123804225961,108.93123804225961,85.50310950186109,85.50310950186109,63.898709042812094,63.898709042812094,47.44982974570469
16146,380.2245346636234,380.2245346636234,282.9306785365685,281.4663019883383,24.198606999343816,21.224637446309174,21.224637446309174,24.050415683108014,24.050415683108014,7.141990916397997,7.141990916397997,41.392298659659964,41.392298659659964,52.10899289159242
60238,374.5614379205747,374.5614379205747,274.2835887111508,272.7462025122749,14.954956503899048,27.4581772949366,27.4581772949366,32.09966112638589,32.09966112638589,6.835823264359556,6.835823264359556,35.36008466085587,35.36008466085587,48.122502147885456
63678,375.2457536464884,375.2457536464884,278.3719876495206,276.9559453779116,21.148508978665472,20.82438628179885,20.82438628179885,25.430060343476555,25.430060343476555,8.87653278802645,8.87653278802645,41.633753253984914,41.633753253984914,53.610728818862164
38157,439.0650279628341,439.0650279628341,398.6014516090927,398.7530031789777,166.41365419638825,126.26466138408745,126.26466138408745,120.07840912438247,120.07840912438247,150.1683601457661,150.1683601457661,182.90234332827745,182.90234332827745,188.17600661263813
62864,439.0650279628341,439.0650279628341,398.6014516090927,398.7530031789777,166.41365419638825,126.26466138408745,126.26466138408745,120.07840912438247,120.07840912438247,150.1683601457661,150.1683601457661,182.90234332827745,182.90234332827745,188.17600661263813
60251,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
50460,386.44546561071746,386.44546561071746,280.46349277703035,278.6336372307533,20.43634264668984,37.78468331337895,37.78468331337895,39.73073795531898,39.73073795531898,9.701620781545317,9.701620781545317,25.729772622334764,25.729772622334764,35.539465456294266
41330,366.212595549132,366.212595549132,264.1157158676842,262.56874403122583,6.805228614589058,33.915104256915235,33.915104256915235,40.0899434221042,40.0899434221042,16.401189201756903,16.401189201756903,33.85258012460853,33.85258012460853,48.79801840021226
62784,377.4456128760706,377.4456128760706,273.84019045298567,272.1585663726649,12.974864423415479,33.30673024965129,33.30673024965129,37.21493828594126,37.21493828594126,7.169123241375598,7.169123241375598,29.165884609889634,29.165884609889634,41.86229856430165
32237,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
32238,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
32236,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
32235,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
58388,28.344253774534415,28.344253774534415,200.5320049009352,206.93139182596582,345.9008115817841,351.3935083678867,351.3935083678867,359.5339595191168,359.5339595191168,359.9233819892494,359.9233819892494,367.0572656239063,367.0572656239063,382.856968012426
